768
11
1748014342
 0 1 1 12 20  3 (D 0,1,1) (S 12,30,30) (D 0,1,1)
 0 1 2 27 49  5 (D 0,1,1) (S 23,4,13) (S 9,13,13) (S 17,4,4) (D 0,1,1)
 0 1 3 47 98  9 (D 0,1,1) (S 45,9,4) (S 3,18,18) (S 35,18,19) (S 26,20,22) (S 37,21,18) (S 36,18,12) (S 43,12,13) (D 0,1,1)
 0 1 4 50 99  8 (D 0,1,1) (S 55,6,11) (S 50,11,12) (S 52,12,18) (S 11,19,19) (S 28,22,21) (S 25,21,19) (D 0,1,1)
 0 1 5 49 68  6 (D 0,1,1) (S 31,1,7) (S 15,7,7) (S 34,7,6) (S 21,6,6) (D 0,1,1)
 0 1 6 48 79  10 (D 0,1,1) (S 46,5,10) (S 19,16,16) (S 22,17,17) (S 20,15,15) (S 49,15,14) (S 14,14,14) (S 40,10,5) (S 41,5,31) (D 0,1,1)
 0 1 7 49 82  7 (D 0,1,1) (S 30,8,12) (S 38,12,11) (S 53,11,6) (S 32,11,10) (S 16,10,10) (D 0,1,1)
 0 1 8 49 80  8 (D 0,1,1) (S 6,31,31) (S 47,28,26) (S 2,24,24) (S 4,23,23) (S 24,23,25) (S 54,25,28) (D 0,1,1)
 0 1 9 26 36  5 (D 0,1,1) (S 27,3,9) (S 8,9,9) (S 18,3,3) (D 0,1,1)
 0 1 10 45 65  5 (D 0,1,1) (S 13,2,2) (S 29,8,9) (S 42,3,2) (D 0,1,1)
 0 1 11 49 69  7 (D 0,1,1) (S 33,1,31) (S 7,28,28) (S 10,26,26) (S 5,27,27) (S 1,29,29) (D 0,1,1)
